group,window,sample_n,signal_days,signal_day_ratio,blank_days,blank_day_ratio,avg_days_per_signal,share_label_A_high,share_label_A_mid,share_label_A_low,share_label_C,share_label_G,share_A_low_plus_C,Ahigh_C_ratio,mean_ret_t1,median_ret_t1,win_t1,mean_ret_t2,median_ret_t2,win_t2,mean_ret_t3,median_ret_t3,win_t3,dual_objective_pass,constraint_quality_ok,constraint_frequency_ok,constraint_freq_ratio_min,constraint_avg_days_max,constraint_win_t2_min
T2_S3_frequency,confirm,5,5,0.08333333333333333,55,0.9166666666666666,12.0,0.4,0.0,0.2,0.4,0.0,0.6000000000000001,1.0,0.0100504340190633,0.0168918918918916,0.6,0.04048794091546269,0.0218002812939521,0.6,0.04209986613581058,0.0028129395218001,0.6,False,False,True,0.08,12.0,0.55
T2_S4_pri0_breadth,all,5,5,0.043478260869565216,110,0.9565217391304348,23.0,0.4,0.0,0.2,0.0,0.4,0.2,inf,-0.00662919860085112,-0.0151228733459356,0.2,0.031577881681885855,-0.0210526315789474,0.4,0.03665615811062453,-0.0171641791044776,0.4,False,False,False,0.1,10.0,0.6
T2_S4_pri0_breadth,main,3,3,0.05454545454545454,52,0.9454545454545454,18.333333333333332,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,,-0.019796129292845268,-0.0151228733459356,0.0,-0.023821676943442466,-0.0220541902961562,0.0,-0.030406609541751565,-0.0214240705734088,0.0,False,False,False,0.08,12.0,0.55
T2_S4_pri0_breadth,confirm,2,2,0.03333333333333333,58,0.9666666666666667,30.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0131211974371401,0.0131211974371401,0.5,0.11467721961987834,0.11467721961987834,1.0,0.13725030958918868,0.13725030958918868,1.0,False,True,False,0.08,12.0,0.55
F3_plus_T2_S1_precision,all,9,9,0.0782608695652174,106,0.9217391304347826,12.777777777777779,0.7777777777777778,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,3.5,0.020992809667225814,0.0221238938053098,0.6666666666666666,0.07321247696236247,0.0805739514348786,0.8888888888888888,0.12255567875632546,0.1501103752759383,0.7777777777777778,False,True,False,0.1,10.0,0.6
F3_plus_T2_S1_precision,main,4,4,0.07272727272727272,51,0.9272727272727272,13.75,0.75,0.0,0.0,0.25,0.0,0.25,3.0,0.0314115148364774,0.02929927741799385,0.75,0.058075806861359575,0.05687778702059085,1.0,0.10833847211782675,0.11300218448253595,0.75,False,True,False,0.08,12.0,0.55
F3_plus_T2_S1_precision,confirm,5,5,0.08333333333333333,55,0.9166666666666666,12.0,0.8,0.0,0.0,0.2,0.0,0.2,4.0,0.01265784553182454,0.0221238938053098,0.6,0.0853218130431648,0.1238938053097347,0.8,0.13392944406712443,0.1501103752759383,0.8,True,True,True,0.08,12.0,0.55
F3_plus_T2_S2_balanced,all,10,10,0.08695652173913043,105,0.9130434782608695,11.5,0.7,0.0,0.1,0.2,0.0,0.30000000000000004,3.5,0.021987762174483533,0.026533114272556398,0.7,0.06807125739552142,0.06945113687197929,0.9,0.11058140483287293,0.13725030958918868,0.8,False,True,False,0.1,10.0,0.6
F3_plus_T2_S2_balanced,main,4,4,0.07272727272727272,51,0.9272727272727272,13.75,0.75,0.0,0.0,0.25,0.0,0.25,3.0,0.0314115148364774,0.02929927741799385,0.75,0.058075806861359575,0.05687778702059085,1.0,0.10833847211782675,0.11300218448253595,0.75,False,True,False,0.08,12.0,0.55
F3_plus_T2_S2_balanced,confirm,6,6,0.1,54,0.9,10.0,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,4.0,0.01570526039982095,0.026533114272556398,0.6666666666666666,0.07473489108496269,0.10223387837230666,0.8333333333333334,0.11207669330957037,0.13725030958918868,0.8333333333333334,True,True,True,0.08,12.0,0.55
F3_plus_T2_S3_frequency,all,14,14,0.12173913043478261,101,0.8782608695652174,8.214285714285714,0.5,0.0,0.14285714285714285,0.35714285714285715,0.0,0.5,1.4,0.01380647966970368,0.018114738375487,0.6428571428571429,0.04348698916340081,0.0386137665130269,0.6428571428571429,0.07641495264226635,0.07119516595045691,0.6428571428571429,False,False,True,0.1,10.0,0.6
F3_plus_T2_S3_frequency,main,6,6,0.10909090909090909,49,0.8909090909090909,9.166666666666666,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0,0.5,1.5,0.017665285415948754,0.011498060722224101,0.6666666666666666,0.03485391962237178,0.0368681208259357,0.6666666666666666,0.07736056752590516,0.07119516595045691,0.6666666666666666,False,False,True,0.08,12.0,0.55
F3_plus_T2_S3_frequency,confirm,8,8,0.13333333333333333,52,0.8666666666666667,7.5,0.5,0.0,0.125,0.375,0.0,0.5,1.3333333333333333,0.010912375360019875,0.019507892848600702,0.625,0.049961791319172597,0.05118711636441535,0.625,0.0757057414795372,0.0636015917121196,0.625,False,False,True,0.08,12.0,0.55
F3_plus_T2_S4_pri0_breadth,all,12,12,0.10434782608695652,103,0.8956521739130435,9.583333333333334,0.5833333333333334,0.0,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,3.5,0.010795574927208043,0.0096687924295412,0.5,0.04895393848591123,0.05687778702059085,0.6666666666666666,0.0843151066818062,0.094365897657774,0.5833333333333334,True,True,True,0.1,10.0,0.6
F3_plus_T2_S4_pri0_breadth,main,7,7,0.12727272727272726,48,0.8727272727272727,7.857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,3.0,0.00946538163819626,0.0,0.42857142857142855,0.02297688523073013,0.0183089899197697,0.5714285714285714,0.04887629426372176,-0.0026743468422135,0.42857142857142855,True,True,True,0.08,12.0,0.55
F3_plus_T2_S4_pri0_breadth,confirm,5,5,0.08333333333333333,55,0.9166666666666666,12.0,0.8,0.0,0.0,0.2,0.0,0.2,4.0,0.01265784553182454,0.0221238938053098,0.6,0.0853218130431648,0.1238938053097347,0.8,0.13392944406712443,0.1501103752759383,0.8,True,True,True,0.08,12.0,0.55
