month,sample_n,avg_ret_t2,win_t2,scenario
2025-09,12,0.00030343226667960593,0.4166666666666667,S0_top3
2025-10,51,0.015669322945718867,0.49019607843137253,S0_top3
2025-11,60,-0.0019245079605924476,0.4666666666666667,S0_top3
2025-12,69,0.017622934448279743,0.4492753623188406,S0_top3
2026-01,60,0.010363992638293835,0.5166666666666667,S0_top3
2026-02,42,0.008819099084610543,0.4523809523809524,S0_top3
2026-03,60,-0.009924136044602757,0.4,S0_top3
2025-09,8,0.008254873260248943,0.5,S1_top2
2025-10,34,0.01910435324483583,0.5,S1_top2
2025-11,40,0.0030251555005743336,0.5,S1_top2
2025-12,46,0.01801694044743014,0.45652173913043476,S1_top2
2026-01,40,0.014324014261802803,0.525,S1_top2
2026-02,28,0.0051802109014292596,0.5,S1_top2
2026-03,40,0.001713844429493197,0.5,S1_top2
2025-09,4,0.0488958069526334,0.75,S2_top1
2025-10,17,0.02187603264055275,0.4117647058823529,S2_top1
2025-11,20,0.02481610290178419,0.65,S2_top1
2025-12,23,-0.002645046734846137,0.34782608695652173,S2_top1
2026-01,20,0.0130194599959087,0.5,S2_top1
2026-02,14,0.01598235305035824,0.5714285714285714,S2_top1
2026-03,20,-0.0056544590115016665,0.5,S2_top1
2025-09,2,-0.10332474226804117,0.0,S3_conditional_top2
2025-10,12,0.015636778201946876,0.5,S3_conditional_top2
2025-11,14,-0.04026030665056678,0.21428571428571427,S3_conditional_top2
2025-12,24,0.03019656045106404,0.5,S3_conditional_top2
2026-01,14,0.001296218771895222,0.5,S3_conditional_top2
2026-02,8,-0.011251074335948685,0.375,S3_conditional_top2
2026-03,28,0.011455895394491303,0.5357142857142857,S3_conditional_top2
